Categoria,Nombre,Precio,Descripcion,Imagen
entrada,Gyosas,5,Repollo fermentado con especias coreanas.,https://www.recetasdesbieta.com/wp-content/uploads/2019/08/gyozas_11.jpg
entrada,Spring Boots,6,Pasteles de arroz en salsa picante.,https://s.lightorangebean.com/media/20240914144947/Thai-Veggie-Spring-Rolls_done.png
entrada,Philadelfia roll,8,Sushi rellenos de carne y vegetales.,https://popmenucloud.com/cdn-cgi/image/width%3D600%2Cheight%3D600%2Cfit%3Dscale-down%2Cformat%3Dauto%2Cquality%3D60/ucqvkarm/f9e67ffe-5c71-4156-89ed-c093c57b3aea.jpg
Platos Fuertes,Kimchi,32,Kimchi fermentado con especias tradicionales coreanas.,https://www.finedininglovers.com/es/sites/g/files/xknfdk1706/files/2021-10/kimchi-tipos-variedades%C2%A9iStock.jpg
Platos Fuertes,Bibimbap,31,"Arroz con vegetales, carne y huevo, acompañado de gochujang.",https://i.blogs.es/cc055c/bibimbap/840_560.jpg
Platos Fuertes,Tteokbokki,28,Pastel de arroz picante cocido con salsa gochujang.,https://merakigourmet.es/wp-content/uploads/2024/12/Proyecto-nuevo-2024-12-22T165419.605.webp
Platos Fuertes,Bulgogi,36,Carne de res marinada y asada con salsa dulce y especias.,https://takestwoeggs.com/wp-content/uploads/2024/01/Beef-Bulgogi-TakesTwoeggs-1.jpg
Platos Fuertes,Dakgangjeong,35,pollo frito con una salsa dulce o picante espesa.,https://www.globalgourmetmarket.com/cdn/shop/articles/Portada-Blog-Pollo-Frito-Coreano_343x.jpg?v=1657120719
Postre,Bungeoppang,10,"Postre tradicional coreano, 6 pedazos hechos de una masa suave con relleno de nutella, arequipe o salsa de mora .",https://www.resepkekinian.com/wp-content/uploads/2021/10/Taiyaki-Bungeoppang.jpg
Postres,Dorayaki,9,Postre coreano circular de masa suave 6 pedazos con relleno de nutella,https://sal-pimienta.com/wp-content/uploads/2022/03/20220311-DSC00033-2-scaled.jpg
Postres,Mooncake,12,"Pastel chino con relleno de nutella y fresa, arequipe, maracuyá o chocolate y mani",https://asianinspirations.com.au/wp-content/uploads/2018/07/R00585_Snowskin-Mooncake.jpg
Bebidas,Limonada Hierbabuena ,7,Deliciosa limonada con hierba buena en frape,https://www.me-mart.com/image/Va9TvTwGh3qgD76BWTJf-01.jpg
Bebidas,Limonada de Fresa,7,Deliciosa limonada con fresa fria,https://cdn.colombia.com/gastronomia/2011/08/02/limonada-de-fresas-1611.gif
Bebidas,Jugos Naturales,5,"Ricos jugos naturales ya sea en leche o en agua, tenemos jugo de naranja, mango, mandarina, fresa y lulo.",https://cdn0.recetasgratis.net/es/posts/8/5/1/smoothie_de_kiwi_y_naranja_75158_10_600.jpg
Bebidas,Sodas,6,"Ricas sodas de diferentes sabores como, fresa, manzana verde, limón, durazno, sandía y uva.",https://media.glamour.mx/photos/6495cb62e509e8203bfef15d/master/w_1600%2Cc_limit/IMG_7274.png
Bebidas,Bubble Tea,8,"Té con leche y perlas de tapioca, disponible en varios sabores.",https://www.globalgourmetmarket.com/cdn/shop/articles/Portada-Blog-Bubble-Tea_343x.jpg?v=1652906007
